"date","FXAUDCAD","FXCNYCAD","FXEURCAD","FXGBPCAD","FXINRCAD","FXJPYCAD","FXMXNCAD","FXUSDCAD"
"2017-04-03","1.0180","0.1943","1.4272","1.6708","0.02059","0.01205","0.07148","1.3384"
"2017-04-04","1.0149","0.1949","1.4311","1.6704","0.02063","0.01213","0.07123","1.3425"
"2017-04-05","1.0158","0.1945","1.4296","1.6733","0.02067","0.01206","0.07159","1.3409"
"2017-04-06","1.0128","0.1945","1.4292","1.6737","0.02078","0.01210","0.07149","1.3418"
"2017-04-07","1.0060","0.1941","1.4210","1.6599","0.02084","0.01208","0.07175","1.3395"
"2017-04-10","1.0009","0.1934","1.4144","1.6572","0.02067","0.01202","0.07144","1.3349"
"2017-04-11","0.9995","0.1934","1.4148","1.6624","0.02066","0.01213","0.07111","1.3332"
"2017-04-12","0.9958","0.1930","1.4111","1.6627","0.02056","0.01214","0.07098","1.3300"
"2017-04-13","1.0062","0.1927","1.4102","1.6619","0.02060","0.01216","0.07149","1.3275"
"2017-04-17","1.0096","0.1931","1.4155","1.6711","0.02059","0.01224","0.07168","1.3289"
"2017-04-18","1.0099","0.1944","1.4321","1.7085","0.02071","0.01232","0.07228","1.3377"
"2017-04-19","1.0103","0.1954","1.4423","1.7236","0.02083","0.01236","0.07160","1.3460"
"2017-04-20","1.0152","0.1959","1.4485","1.7277","0.02086","0.01234","0.07169","1.3482"
"2017-04-21","1.0179","0.1961","1.4447","1.7276","0.02089","0.01238","0.07169","1.3506"
"2017-04-24","1.0202","0.1960","1.4648","1.7251","0.02092","0.01227","0.07230","1.3492"
"2017-04-25","1.0241","0.1974","1.4847","1.7435","0.02113","0.01226","0.07188","1.3592"
"2017-04-26","1.0154","0.1972","1.4797","1.7446","0.02120","0.01219","0.07114","1.3593"
"2017-04-27","1.0163","0.1975","1.4817","1.7571","0.02125","0.01224","0.07153","1.3624"
"2017-04-28","1.0211","0.1982","1.4896","1.7679","0.02125","0.01226","0.07218","1.3662"
"2017-05-01","1.0289","0.1982","1.4902","1.7644","0.02125","0.01223","0.07275","1.3660"
"2017-05-02","1.0321","0.1990","1.4971","1.7728","0.02138","0.01224","0.07306","1.3720"
"2017-05-03","1.0220","0.1988","1.4963","1.7701","0.02137","0.01220","0.07291","1.3714"
"2017-05-04","1.0167","0.1993","1.5057","1.7743","0.02140","0.01220","0.07228","1.3743"
"2017-05-05","1.0157","0.1986","1.5063","1.7767","0.02132","0.01218","0.07213","1.3712"
"2017-05-08","1.0125","0.1985","1.4985","1.7738","0.02130","0.01214","0.07169","1.3705"
"2017-05-09","1.0085","0.1987","1.4939","1.7751","0.02123","0.01203","0.07157","1.3728"
"2017-05-10","1.0085","0.1981","1.4860","1.7692","0.02118","0.01199","0.07193","1.3672"
"2017-05-11","1.0103","0.1985","1.4892","1.7651","0.02128","0.01204","0.07253","1.3707"
"2017-05-12","1.0141","0.1988","1.4973","1.7661","0.02135","0.01209","0.07305","1.3714"
"2017-05-15","1.0128","0.1979","1.4973","1.7606","0.02130","0.01201","0.07306","1.3641"
"2017-05-16","1.0100","0.1974","1.5063","1.7551","0.02123","0.01201","0.07298","1.3596"
"2017-05-17","1.0101","0.1978","1.5161","1.7638","0.02123","0.01222","0.07288","1.3614"
"2017-05-18","1.0111","0.1976","1.5128","1.7678","0.02098","0.01225","0.07194","1.3611"
"2017-05-19","1.0093","0.1967","1.5162","1.7641","0.02098","0.01216","0.07247","1.3544"
"2017-05-23","1.0107","0.1958","1.5120","1.7511","0.02080","0.01211","0.07245","1.3490"
"2017-05-24","1.0061","0.1954","1.5063","1.7428","0.02079","0.01203","0.07259","1.3460"
"2017-05-25","1.0041","0.1959","1.5082","1.7422","0.02084","0.01203","0.07291","1.3453"
"2017-05-26","1.0019","0.1963","1.5039","1.7231","0.02086","0.01210","0.07282","1.3456"
"2017-05-29","1.0006","0.1961","1.5027","1.7266","0.02083","0.01208","0.07266","1.3446"
"2017-05-30","1.0049","0.1965","1.5059","1.7319","0.02083","0.01215","0.07224","1.3469"
"2017-05-31","1.0040","0.1982","1.5164","1.7387","0.02093","0.01219","0.07225","1.3500"
"2017-06-01","0.9966","0.1983","1.5141","1.7392","0.02095","0.01213","0.07259","1.3500"
"2017-06-02","1.0033","0.1982","1.5218","1.7390","0.02096","0.01221","0.07243","1.3504"
"2017-06-05","1.0090","0.1982","1.5171","1.7416","0.02095","0.01220","0.07337","1.3483"
"2017-06-06","1.0109","0.1981","1.5170","1.7354","0.02089","0.01230","0.07365","1.3461"
"2017-06-07","1.0191","0.1985","1.5179","1.7461","0.02095","0.01232","0.07399","1.3492"
"2017-06-08","1.0185","0.1986","1.5145","1.7463","0.02102","0.01226","0.07418","1.3503"
"2017-06-09","1.0131","0.1979","1.5052","1.7126","0.02094","0.01217","0.07399","1.3453"
"2017-06-12","1.0113","0.1973","1.5032","1.6982","0.02080","0.01221","0.07383","1.3415"
"2017-06-13","0.9977","0.1947","1.4835","1.6864","0.02057","0.01203","0.07323","1.3238"
"2017-06-14","1.0056","0.1945","1.4872","1.6883","0.02056","0.01208","0.07358","1.3209"
"2017-06-15","1.0067","0.1951","1.4810","1.6942","0.02057","0.01200","0.07344","1.3283"
"2017-06-16","1.0085","0.1943","1.4804","1.6914","0.02052","0.01193","0.07375","1.3232"
"2017-06-19","1.0047","0.1939","1.4758","1.6853","0.02050","0.01187","0.07359","1.3220"
"2017-06-20","1.0063","0.1943","1.4771","1.6756","0.02056","0.01190","0.07321","1.3267"
"2017-06-21","1.0055","0.1949","1.4839","1.6864","0.02063","0.01194","0.07318","1.3310"
"2017-06-22","0.9987","0.1937","1.4769","1.6772","0.02049","0.01190","0.07307","1.3241"
"2017-06-23","1.0048","0.1941","1.4853","1.6884","0.02057","0.01193","0.07373","1.3268"
"2017-06-26","1.0045","0.1935","1.4819","1.6848","0.02054","0.01186","0.07406","1.3238"
"2017-06-27","1.0010","0.1936","1.4913","1.6859","0.02045","0.01176","0.07338","1.3188"
"2017-06-28","0.9958","0.1921","1.4844","1.6867","0.02024","0.01164","0.07299","1.3060"
"2017-06-29","0.9985","0.1918","1.4868","1.6903","0.02013","0.01159","0.07217","1.3015"
"2017-06-30","0.9968","0.1914","1.4813","1.6862","0.02008","0.01156","0.07180","1.2977"
"2017-07-04","0.9843","0.1903","1.4685","1.6725","0.01998","0.01143","0.07110","1.2941"
"2017-07-05","0.9852","0.1909","1.4714","1.6774","0.02003","0.01146","0.07087","1.2982"
"2017-07-06","0.9821","0.1903","1.4767","1.6773","0.02000","0.01143","0.07070","1.2946"
"2017-07-07","0.9797","0.1894","1.4692","1.6603","0.01995","0.01131","0.07111","1.2887"
"2017-07-10","0.9795","0.1894","1.4688","1.6598","0.01999","0.01129","0.07167","1.2888"
"2017-07-11","0.9845","0.1899","1.4774","1.6610","0.02002","0.01132","0.07197","1.2920"
"2017-07-12","0.9816","0.1885","1.4613","1.6487","0.01984","0.01130","0.07193","1.2794"
"2017-07-13","0.9846","0.1879","1.4529","1.6482","0.01977","0.01125","0.07182","1.2743"
"2017-07-14","0.9900","0.1870","1.4515","1.6553","0.01968","0.01126","0.07213","1.2672"
"2017-07-17","0.9900","0.1871","1.4535","1.6548","0.01969","0.01125","0.07204","1.2669"
"2017-07-18","1.0005","0.1872","1.4606","1.6459","0.01963","0.01128","0.07213","1.2628"
"2017-07-19","1.0010","0.1865","1.4512","1.6411","0.01959","0.01127","0.07197","1.2595"
"2017-07-20","1.0004","0.1861","1.4604","1.6325","0.01955","0.01124","0.07180","1.2585"
"2017-07-21","0.9935","0.1854","1.4632","1.6298","0.01949","0.01129","0.07142","1.2549"
"2017-07-24","0.9924","0.1853","1.4565","1.6303","0.01943","0.01127","0.07075","1.2512"
"2017-07-25","0.9942","0.1853","1.4592","1.6319","0.01943","0.01121","0.07047","1.2507"
"2017-07-26","0.9922","0.1851","1.4572","1.6331","0.01943","0.01118","0.07053","1.2505"
"2017-07-27","0.9987","0.1857","1.4621","1.6392","0.01952","0.01124","0.07082","1.2520"
"2017-07-28","0.9939","0.1847","1.4619","1.6328","0.01941","0.01123","0.07008","1.2447"
"2017-07-31","0.9964","0.1856","1.4719","1.6438","0.01945","0.01131","0.07001","1.2485"
"2017-08-01","0.9981","0.1863","1.4779","1.6539","0.01953","0.01135","0.07025","1.2514"
"2017-08-02","1.0014","0.1868","1.4890","1.6619","0.01973","0.01136","0.07029","1.2560"
"2017-08-03","0.9991","0.1872","1.4928","1.6519","0.01975","0.01141","0.07042","1.2578"
"2017-08-04","1.0015","0.1879","1.4886","1.6495","0.01985","0.01141","0.07073","1.2638"
"2017-08-08","1.0030","0.1890","1.4911","1.6458","0.01990","0.01147","0.07079","1.2672"
"2017-08-09","1.0011","0.1903","1.4916","1.6509","0.01989","0.01156","0.07066","1.2705"
"2017-08-10","1.0026","0.1912","1.4936","1.6506","0.01983","0.01162","0.07093","1.2711"
"2017-08-11","1.0006","0.1903","1.4984","1.6484","0.01978","0.01163","0.07102","1.2685"
"2017-08-14","0.9988","0.1904","1.4975","1.6483","0.01982","0.01159","0.07149","1.2705"
