date,CAD_per_INR
2019-04-24,0.01927
2019-04-25,0.01921
2019-04-26,0.01926
2019-04-29,0.01927
2019-04-30,0.01927
2019-05-01,0.01929
2019-05-02,0.0194
2019-05-03,0.01943
2019-05-06,0.01939
2019-05-07,0.01936
2019-05-08,0.01932
2019-05-09,0.01922
2019-05-10,0.01916
2019-05-13,0.01906
2019-05-14,0.01915
2019-05-15,0.01914
2019-05-16,0.01917
2019-05-17,0.01917
2019-05-21,0.01925
2019-05-22,0.01924
2019-05-23,0.01933
2019-05-24,0.01937
2019-05-27,0.01934
2019-05-28,0.01937
2019-05-29,0.01936
2019-05-30,0.01933
2019-05-31,0.01942
2019-06-03,0.01947
2019-06-04,0.01936
2019-06-05,0.01932
2019-06-06,0.01932
2019-06-07,0.01914
2019-06-10,0.01908
2019-06-11,0.01913
2019-06-12,0.01918
2019-06-13,0.01916
2019-06-14,0.01918
2019-06-17,0.01919
2019-06-18,0.01924
2019-06-19,0.01915
2019-06-20,0.01898
2019-06-21,0.01898
2019-06-24,0.01903
2019-06-25,0.01901
2019-06-26,0.01897
2019-06-27,0.01899
2019-06-28,0.01898
2019-07-02,0.01903
2019-07-03,0.019
2019-07-04,0.01906
2019-07-05,0.01913
2019-07-08,0.01908
2019-07-09,0.01914
2019-07-10,0.01914
2019-07-11,0.01911
2019-07-12,0.019
2019-07-15,0.01903
2019-07-16,0.019
2019-07-17,0.01896
2019-07-18,0.01898
2019-07-19,0.01899
2019-07-22,0.01901
2019-07-23,0.01905
2019-07-24,0.01905
2019-07-25,0.01905
2019-07-26,0.01914
2019-07-29,0.01914
2019-07-30,0.01913
2019-07-31,0.0191
2019-08-01,0.01914
2019-08-02,0.01899
2019-08-06,0.01868
2019-08-07,0.01875
2019-08-08,0.01879
2019-08-09,0.01865
2019-08-12,0.01857
2019-08-13,0.01853
2019-08-14,0.01867
2019-08-15,0.01857
2019-08-16,0.01867
2019-08-19,0.01861
2019-08-20,0.01861
2019-08-21,0.01858
2019-08-22,0.01848
2019-08-23,0.01859
2019-08-26,0.01844
2019-08-27,0.01855
2019-08-28,0.01853
2019-08-29,0.01855
2019-08-30,0.01861
2019-09-03,0.01847
2019-09-04,0.01842
2019-09-05,0.01841
2019-09-06,0.01838
2019-09-09,0.01835
2019-09-10,0.01829
2019-09-11,0.0184
2019-09-12,0.01859
2019-09-13,0.01867
2019-09-16,0.01851
2019-09-17,0.01852
2019-09-18,0.01865
2019-09-19,0.01859
2019-09-20,0.01869
2019-09-23,0.01873
2019-09-24,0.01868
2019-09-25,0.01868
2019-09-26,0.01869
2019-09-27,0.0188
2019-09-30,0.01873
2019-10-01,0.01862
2019-10-02,0.01868
2019-10-03,0.01877
2019-10-04,0.01879
2019-10-07,0.01875
2019-10-08,0.01871
2019-10-09,0.01874
2019-10-10,0.01872
2019-10-11,0.0186
2019-10-15,0.01848
2019-10-16,0.01849
2019-10-17,0.01848
2019-10-18,0.01848
2019-10-21,0.01848
2019-10-22,0.01848
2019-10-23,0.01848
2019-10-24,0.01842
2019-10-25,0.01845
2019-10-28,0.01846
2019-10-29,0.01845
2019-10-30,0.01853
2019-10-31,0.01854
2019-11-01,0.01859
2019-11-04,0.01858
2019-11-05,0.01858
2019-11-06,0.01857
2019-11-07,0.01855
2019-11-08,0.01854
2019-11-12,0.01844
2019-11-13,0.01837
2019-11-14,0.01842
2019-11-15,0.01847
2019-11-18,0.01838
2019-11-19,0.01844
2019-11-20,0.01854
2019-11-21,0.01852
2019-11-22,0.01852
2019-11-25,0.01856
2019-11-26,0.01858
2019-11-27,0.01862
2019-11-28,0.01857
2019-11-29,0.01853
2019-12-02,0.01856
2019-12-03,0.01854
2019-12-04,0.0185
2019-12-05,0.01849
2019-12-06,0.0186
2019-12-09,0.01863
2019-12-10,0.01868
2019-12-11,0.01866
2019-12-12,0.01865
2019-12-13,0.01863
2019-12-16,0.01853
2019-12-17,0.01853
2019-12-18,0.01848
2019-12-19,0.01845
2019-12-20,0.01851
2019-12-23,0.01847
2019-12-24,0.01846
2019-12-27,0.0183
2019-12-30,0.01831
2019-12-31,0.0182
2020-01-02,0.01821
2020-01-03,0.0181
2020-01-06,0.01804
2020-01-07,0.0181
2020-01-08,0.01821
2020-01-09,0.01837
2020-01-10,0.0184
2020-01-13,0.01844
2020-01-14,0.01844
2020-01-15,0.01845
2020-01-16,0.01838
2020-01-17,0.01838
2020-01-20,0.01838
2020-01-21,0.01836
2020-01-22,0.01845
2020-01-23,0.01841
2020-01-24,0.01843
2020-01-27,0.01845
2020-01-28,0.0185
2020-01-29,0.0185
2020-01-30,0.01847
2020-01-31,0.0185
2020-02-03,0.01861
2020-02-04,0.01866
2020-02-05,0.01867
2020-02-06,0.01867
2020-02-07,0.01861
2020-02-10,0.01868
2020-02-11,0.01865
2020-02-12,0.01859
2020-02-13,0.0186
2020-02-14,0.01853
2020-02-18,0.01853
2020-02-19,0.01849
2020-02-20,0.01849
2020-02-21,0.01839
2020-02-24,0.01846
2020-02-25,0.01851
2020-02-26,0.01859
2020-02-27,0.01864
2020-02-28,0.01852
2020-03-02,0.01834
2020-03-03,0.01826
2020-03-04,0.01824
2020-03-05,0.01825
2020-03-06,0.01814
2020-03-09,0.01833
2020-03-10,0.01852
2020-03-11,0.01865
2020-03-12,0.01858
2020-03-13,0.01883
2020-03-16,0.01885
2020-03-17,0.01911
2020-03-18,0.01947
2020-03-19,0.01936
2020-03-20,0.01903
