date,CAD_per_MXN
2019-03-11,0.06907
2019-03-12,0.06927
2019-03-13,0.06898
2019-03-14,0.06894
2019-03-15,0.06939
2019-03-18,0.06983
2019-03-19,0.06992
2019-03-20,0.07046
2019-03-21,0.07088
2019-03-22,0.07029
2019-03-25,0.07044
2019-03-26,0.07017
2019-03-27,0.0695
2019-03-28,0.06932
2019-03-29,0.06902
2019-04-01,0.06937
2019-04-02,0.06953
2019-04-03,0.06941
2019-04-04,0.06964
2019-04-05,0.07013
2019-04-08,0.07023
2019-04-09,0.07037
2019-04-10,0.07074
2019-04-11,0.07095
2019-04-12,0.07105
2019-04-15,0.07086
2019-04-16,0.07059
2019-04-17,0.07079
2019-04-18,0.0712
2019-04-22,0.07089
2019-04-23,0.07085
2019-04-24,0.07081
2019-04-25,0.07066
2019-04-26,0.07104
2019-04-29,0.07083
2019-04-30,0.07071
2019-05-01,0.07105
2019-05-02,0.07053
2019-05-03,0.07069
2019-05-06,0.07085
2019-05-07,0.07071
2019-05-08,0.07054
2019-05-09,0.07015
2019-05-10,0.07017
2019-05-13,0.07009
2019-05-14,0.0703
2019-05-15,0.07037
2019-05-16,0.07044
2019-05-17,0.07028
2019-05-21,0.07043
2019-05-22,0.07065
2019-05-23,0.07077
2019-05-24,0.07055
2019-05-27,0.07055
2019-05-28,0.07036
2019-05-29,0.07036
2019-05-30,0.07069
2019-05-31,0.06884
2019-06-03,0.06814
2019-06-04,0.06846
2019-06-05,0.06851
2019-06-06,0.06785
2019-06-07,0.06762
2019-06-10,0.06907
2019-06-11,0.0694
2019-06-12,0.06943
2019-06-13,0.06953
2019-06-14,0.0699
2019-06-17,0.0699
2019-06-18,0.07005
2019-06-19,0.06967
2019-06-20,0.06953
2019-06-21,0.06922
2019-06-24,0.06881
2019-06-25,0.06852
2019-06-26,0.06855
2019-06-27,0.06847
2019-06-28,0.06821
2019-07-02,0.06876
2019-07-03,0.06867
2019-07-04,0.06874
2019-07-05,0.06884
2019-07-08,0.06916
2019-07-09,0.06903
2019-07-10,0.06811
2019-07-11,0.06839
2019-07-12,0.06854
2019-07-15,0.06872
2019-07-16,0.06845
2019-07-17,0.06855
2019-07-18,0.06876
2019-07-19,0.06875
2019-07-22,0.06875
2019-07-23,0.06868
2019-07-24,0.06883
2019-07-25,0.06902
2019-07-26,0.06917
2019-07-29,0.06895
2019-07-30,0.06905
2019-07-31,0.06914
2019-08-01,0.06883
2019-08-02,0.06846
2019-08-06,0.06759
2019-08-07,0.06773
2019-08-08,0.06794
2019-08-09,0.06807
2019-08-12,0.06752
2019-08-13,0.06798
2019-08-14,0.06791
2019-08-15,0.06784
2019-08-16,0.06783
2019-08-19,0.06716
2019-08-20,0.06741
2019-08-21,0.06745
2019-08-22,0.06729
2019-08-23,0.067
2019-08-26,0.06673
2019-08-27,0.06636
2019-08-28,0.0664
2019-08-29,0.06609
2019-08-30,0.06627
2019-09-03,0.06665
2019-09-04,0.06706
2019-09-05,0.06723
2019-09-06,0.06735
2019-09-09,0.06732
2019-09-10,0.06736
2019-09-11,0.06746
2019-09-12,0.06795
2019-09-13,0.06838
2019-09-16,0.06816
2019-09-17,0.06824
2019-09-18,0.06854
2019-09-19,0.06836
2019-09-20,0.06824
2019-09-23,0.06819
2019-09-24,0.06811
2019-09-25,0.0678
2019-09-26,0.06759
2019-09-27,0.06732
2019-09-30,0.06712
2019-10-01,0.06689
2019-10-02,0.06715
2019-10-03,0.0676
2019-10-04,0.06815
2019-10-07,0.06803
2019-10-08,0.06799
2019-10-09,0.0681
2019-10-10,0.06819
2019-10-11,0.0683
2019-10-15,0.06862
2019-10-16,0.06871
2019-10-17,0.06857
2019-10-18,0.06858
2019-10-21,0.06843
2019-10-22,0.06853
2019-10-23,0.06841
2019-10-24,0.06843
2019-10-25,0.0685
2019-10-28,0.0685
2019-10-29,0.06839
2019-10-30,0.06865
2019-10-31,0.0686
2019-11-01,0.06881
2019-11-04,0.06864
2019-11-05,0.0685
2019-11-06,0.06866
2019-11-07,0.06886
2019-11-08,0.0692
2019-11-12,0.06874
2019-11-13,0.06815
2019-11-14,0.06829
2019-11-15,0.06888
2019-11-18,0.06857
2019-11-19,0.06842
2019-11-20,0.06831
2019-11-21,0.06843
2019-11-22,0.06852
2019-11-25,0.06847
2019-11-26,0.0681
2019-11-27,0.06795
2019-11-28,0.06779
2019-11-29,0.068
2019-12-02,0.06796
2019-12-03,0.06793
2019-12-04,0.0679
2019-12-05,0.06801
2019-12-06,0.0686
2019-12-09,0.06878
2019-12-10,0.0688
2019-12-11,0.06886
2019-12-12,0.06905
2019-12-13,0.0692
2019-12-16,0.06928
2019-12-17,0.06955
2019-12-18,0.0692
2019-12-19,0.06919
2019-12-20,0.06956
2019-12-23,0.06946
2019-12-24,0.06943
2019-12-27,0.06933
2019-12-30,0.06913
2019-12-31,0.06882
2020-01-02,0.06883
2020-01-03,0.06869
2020-01-06,0.06882
2020-01-07,0.06889
2020-01-08,0.06927
2020-01-09,0.06945
2020-01-10,0.06947
2020-01-13,0.06935
2020-01-14,0.06947
2020-01-15,0.06941
2020-01-16,0.06941
2020-01-17,0.06976
2020-01-20,0.06992
2020-01-21,0.06979
2020-01-22,0.07017
2020-01-23,0.07
2020-01-24,0.06985
2020-01-27,0.06967
2020-01-28,0.07014
2020-01-29,0.07054
2020-01-30,0.0703
2020-01-31,0.07009
2020-02-03,0.07065
2020-02-04,0.07104
2020-02-05,0.0714
2020-02-06,0.07126
2020-02-07,0.0709
2020-02-10,0.07101
2020-02-11,0.07118
2020-02-12,0.07115
2020-02-13,0.07114
2020-02-14,0.07135
2020-02-18,0.07127
2020-02-19,0.07118
2020-02-20,0.07052
2020-02-21,0.06992
2020-02-24,0.06949
2020-02-25,0.06958
2020-02-26,0.06938
2020-02-27,0.06887
2020-02-28,0.06795
2020-03-02,0.06799
2020-03-03,0.06894
2020-03-04,0.0688
2020-03-05,0.06766
2020-03-06,0.06649
2020-03-09,0.06422
2020-03-10,0.06576
2020-03-11,0.06485
2020-03-12,0.06269
2020-03-13,0.0638
2020-03-16,0.06142
2020-03-17,0.06163
2020-03-18,0.06063
2020-03-19,0.05982
2020-03-20,0.05958
2020-03-23,0.05799
2020-03-24,0.05796
2020-03-25,0.05881
2020-03-26,0.06017
2020-03-27,0.06
2020-03-30,0.05852
2020-03-31,0.06003
2020-04-01,0.05837
2020-04-02,0.0585
2020-04-03,0.05726
2020-04-06,0.05698
2020-04-07,0.05811
2020-04-08,0.05818
2020-04-09,0.05924
2020-04-13,0.05882
2020-04-14,0.05907
2020-04-15,0.05861
2020-04-16,0.05837
2020-04-17,0.05875
2020-04-20,0.05856
2020-04-21,0.05825
2020-04-22,0.05773
2020-04-23,0.05714
2020-04-24,0.05653
2020-04-27,0.05658
2020-04-28,0.05738
2020-04-29,0.05805
2020-04-30,0.05809
